keys,zh,en
听着屋内妈妈和妹妹的欢声笑语_我突然感觉两个人之间隔的那么远_2AEA2E,听着屋内妈妈和妹妹的欢声笑语，我突然感觉两个人之间隔的那么远，像是两个隔江遥遥对望的旅人，那里有我不曾得到过的奖赏和认可。,
我的努力在天赋面前一文不值_我突然觉得那么难_无形的悲伤汹涌_65CB71,我的努力在天赋面前一文不值，我突然觉得那么难，无形的悲伤汹涌着，像海浪一般将她重重的卷走了。,
我是个不被认可的孩子_我悄悄放下了手中的笔记本_那里面有着我_E546BA,我是个不被认可的孩子，我悄悄放下了手中的笔记本，那里面有着我设计的一些钟表，但是那又怎样？在黛西的创意面前我永远显得如此平庸。,
离家那晚_我偷了妈妈烤的土豆塞进背包。_D100B5,离家那晚，我偷了妈妈烤的土豆塞进背包。,
火车开动时_玻璃窗映出她追月台的剪影_我第一次看到她跑的那么_503C8A,火车开动时，玻璃窗映出她追月台的剪影——我第一次看到她跑的那么笨拙，像是折翅的大雁。,
我立刻低头假装系鞋带_鞋带缠成死结的瞬间_听见自己喊_等我修_3E2688,我立刻低头假装系鞋带，鞋带缠成死结的瞬间，听见自己喊：‘等我修好伦敦大本钟就回来！’,
就在火车即将离开月台的那刻我有些后悔了_我打开了窗_想要最后_9D0BD7,就在火车即将离开月台的那刻我有些后悔了，我打开了窗，想要最后好好听一次，但是随之而来的汽笛声吞没了那句话。,
很多年后我在梦里还是能梦到那个场景_火车无可阻止的向前开去_BF534A,很多年后我在梦里还是能梦到那个场景，火车无可阻止的向前开去，妈妈紧紧的跟随着，缺总是差上几步距离。,
我感觉她有什么话一直想对我说出来_但是我总是听不清那些最后的_E9A8FC,我感觉她有什么话一直想对我说出来，但是我总是听不清那些最后的话语，我心的跳动比当年吞掉呼喊的汽笛更震耳欲聋。,
可是我最终还是没能修好一座钟。_9D8AB5,可是我最终还是没能修好一座钟。,
我已经安定在这座小城很多年了_就像是母亲当年一样生儿育女。_A0220E,我已经安定在这座小城很多年了，就像是母亲当年一样生儿育女。,
我曾经带着倔强离开了那里_发誓要修好世界上最精妙的钟_可是我_43FF41,我曾经带着倔强离开了那里，发誓要修好世界上最精妙的钟，可是我最终还是没能修好，哪怕一座钟。,
我原以为日子会一直这样子重复下去_直到那封信的到来。_69AC2A,我原以为日子会一直这样子重复下去……直到那封信的到来。,
信里面说母亲已经去世了_如果我愿意_可以来参加她的葬礼。_74E739,信里面说母亲已经去世了，如果我愿意，可以来参加她的葬礼。,
我坐着火车回去的路上好像还是没法接受这个事实_母亲已经去世了_793A6D,我坐着火车回去的路上好像还是没法接受这个事实，母亲已经去世了？我印象里那个骄傲而灵巧的钟表匠也会老吗？我不断的扪心自问。,
什么是死_死是不能拥抱_是无法挽回_是纵然有千言万语也不再能_ACD0E3,什么是死？死是不能拥抱，是无法挽回，是纵然有千言万语也不再能相见。,
母亲_你最宠爱最看好的孩子最终抛弃了你吗_我好像有些报复的快_41F40C,母亲，你最宠爱最看好的孩子最终抛弃了你吗？我好像有些报复的快感，但是又陷入深深的虚无。,
简单的葬礼结束后_牧师递给我一把钥匙_60640E,简单的葬礼结束后，牧师递给我一把钥匙,
这是_我感到很疑惑_B7A89F,这是？我感到很疑惑,
牧师没解释什么_只_有轻飘飘的一句话_去你母亲的卧室看看吧。_95BFEE,牧师没解释什么，只=有轻飘飘的一句话”去你母亲的卧室看看吧。说罢他放下钥匙离开了,
我拿着钥匙打开了母亲的卧室_一进门就被呛的喘不过气_这里看着_7338AC,我拿着钥匙打开了母亲的卧室，一进门就被呛的喘不过气，这里看着已经很久没有人居住了，厚厚的灰层堆积着。,
我拿着扫把挥扫着_无意间碰到了一个把手。_79C1C2,我拿着扫把挥扫着，无意间碰到了一个把手。,
卧室像是活了过来_机械轰鸣着_灰尘在震动中抖落_墙壁的四面裂_065A13,卧室像是活了过来，机械轰鸣着，灰尘在震动中抖落，墙壁的四面裂开了，伸出来的是——各式各样的钟表。,
我看着眼前各式各样的钟表_全都是稀奇古怪的_我从来没见过的全_DC680C,我看着眼前各式各样的钟表，全都是稀奇古怪的，我从来没见过的全新款式。,
还有一封递到眼前的信_摸着纸张感觉放着还没多久。_DE6170,还有一封递到眼前的信，摸着纸张感觉放着还没多久。,
我小心翼翼的拆开它_拿出信_看来起来。_5BA59B,我小心翼翼的拆开它，拿出信，看来起来。,
亲爱的玛格丽特_1F6EBE,亲爱的玛格丽特 \,
我亲爱的孩子_玛格丽特。又或者_请允许我叫你梅格_昵称_。_A96784,我亲爱的孩子，玛格丽特。又或者，请允许我叫你梅格（昵称）。,
很高兴你还是愿意来到这里_这是一份给你的礼物_在你妹妹走后_F1F444,很高兴你还是愿意来到这里，这是一份给你的礼物，在你妹妹走后，就是我一个人一直在打理了。,
黛西走了_我心中一愣_5DC43C,黛西走了？我心中一愣,
黛西也离开了_你离开第二年_她背起你落下的帆布包_塞进那本你_433C82,黛西也离开了，你离开第二年，她背起你落下的帆布包，塞进那本你画满钟表的旧笔记本出发了。“姐答应过和我开钟表博物馆的”，这是她留给我的最后一句话。,
里斯本渔民去年寄来她泡变形的日志。最后一页粘着张明信片_海水_942427,里斯本渔民去年寄来她泡变形的日志。最后一页粘着张明信片，海水把字迹晕成蓝雾：「姐！沉船里的1887年潮汐钟和你画的一模一样！明日退潮去取——」,
潮水再没把她送回来。渔民在礁石缝找到她时_她手里攥着这块锈透_0B2A35,潮水再没把她送回来。渔民在礁石缝找到她时，她手里攥着这块锈透的铜怀表。,
